Setting,Description and Usage,,,,
Use Proxy,"This policy setting configures the use of a proxy server for connecting with the token validation service e.g. SAS or a Token Validation Proxy.

The setting corresponds to the UI option (Communications tab) called Use Proxy.

[1] Enables the use of a proxy server.

[0] Proxy server is not used (default value)

Note: If you enable this setting you must also enable ‘Proxy Server’. ",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DoNotFilter,"This policy setting allows a view where other third-party credential providers can also be displayed. By default, WLA filters out (do not display) any other credential provider.",,,,
,,,,,
,,,,,
Strip NETBIOS prefix (domain\username will be sent as username),"This policy setting determines if a NETBIOS name (DOMAIN\USERNAME) is sent to the authentication server as-is, or if the portion prefixing the username is removed (stripped). The setting corresponds to the UI option (Communications tab) called Strip NETBIOS prefix (domain\username will be sent as username)",,,,
,,,,,
,[1] Strips the DOMAIN\ portion from the username when authenticating with SAS,,,,
,,,,,
,[0] WLA will not sanitize the username (default value),,,,
,,,,,
,Note: This is useful when users log in with NETBIOS sometimes and SAS username at other times and you need to sanitize what is being sent from different protected resources so that SAS can still authenticate the user(s) consistently.,,,,
WLAasV1Provider,WLAasV1Provider is used to select the Credential Provider Type and specify whether Credential Provider Type is set to V1 or not.,,,,
,,,,,
,• Windows Credential Provider Type selected as V2: WLAasV1Provider=0,,,,
,,,,,
,• Windows Credential Provider Type selected as V1: WLAasV1Provider=1,,,,
,,,,,
,"In Windows 7 and Windows Server 2008 R2, it is recommended to keep the value 1 i.e. using V1 credential provider.",,,,
,,,,,
,"In Windows 8, 10, 2012, 2016, 2019, it is recommended to keep the value 0 i.e. using V2 credential provider.",,,,
IPAddressAPIUrl,"This specifies the URL to get the public IP of the machine, to support network/IP based logon policies as configured in STA.",,,,
IPAddressFallbackAPIUrl,"This specifies a secondary URL, in case the URL mentioned in IPAddressAPIUrl fails, to get the public IP of the machine to support network/IP based logon policies as configured in STA.",,,,
Enable SSL Certificate Check,This policy setting enable or disable the validation of the SAS or Token Validation Proxy (if used) server certificate. The setting corresponds with the UI option called Enable SSL Certificate Check.,,,,
,,,,,
,[1] WLA will validate the server certificate (default value),,,,
,,,,,
,[0] Does not validate server certificate,,,,
,,,,,
,Note: Disabling the certificate check can be useful in troubleshooting or when testing using a self-signed untrusted certificate.,,,,
Proxy Server,This policy setting configures the proxy server IP address or FQDN and its port number for use when connecting with the token validation service (e.g. SAS or a Token Validation Proxy). The values set corresponds to UI options (Communications tab) called ‘Proxy Server:’ and ‘Port:’. Correct syntax is: '1.2.3.4:567' or 'host.domain.name:port'.,,,,
,,,,,
,Note: Must be used with setting ‘Use Proxy’ and/or 'Use Proxy for SPS'.,,,,
Exempt Local/Domain Administrator strong authentication,"This policy setting configures the exclusion of local and domain administrators from using strong authentication (OTP). When set, administrators can authenticate with fixed passwords instead of dynamic passwords. When disabled [0] all users must use OTP for Windows Logon (assuming no other exemptions are configured). The setting corresponds to UI option: 'Exempt Local/Domain Administrator strong authentication' (Policy tab).",,,,
,,,,,
,[1] Local & Domain Administrators are exempt from strong authentication (default value),,,,
,,,,,
,[0] All users musts use strong authentication.,,,,
ProxyPassword,"This policy setting configures the proxy server password as used when authenticating to the defined proxy server (if required), in order to connect with the token validation service (e.g. SAS or a Token Validator Proxy host). The setting corresponds to the UI option called: 'Password'. Note that setting 'Password' also assumes setting ‘Proxy Server’ and ‘Username’, and may also require setting 'Use Proxy for SPS' (if applicable).",,,,
,,,,,
,WARNING: Windows Logon Agent (WLA) uses the SAS key file to encrypt and decrypt the proxy password during operation and thus assumes the password is propagated from the GPO in encrypted form (!) To set the password with the GPO it is therefore best to retrieve it from the registry of a client already installed.,,,,
LocalUserOrGroup_Ex,Local Groups which are excluded from SafeNet Authentication.,,,,
,,,,,
,"NOTE: When any group is added to this setting through GPO, DomainUSerOrGroup_In needs to be set to “*”.",,,,
Primary Server (IP:Port),"This policy setting configures the primary SAS authentication server (or the Token Validation Proxy). Syntax is either protocol followed by IP address and port (if non-standard) or protocol followed by FQDN and port (if non-standard), i.e.: 'http://1.2.3.4:8080' or 'https://server.domain.com'. The setting corresponds to UI options (Communications tab): 'Primary Server (IP:Port)' and when the default value is used (or when a custom value is used with https): 'Use SSL'.",,,,
Enable Microsoft Password Caching,"This policy setting configures if OTP replaces password authentication or if OTP is a second form of authentication following password based authentication. When configured, the WLA will cache the user domain password on first successful authentication and then cache it until password expiration, requiring only the use of OTP for Windows logon.",,,,
,,,,,
,The setting corresponds to the UI option called: ‘Enable Microsoft Password Caching’.,,,,
,,,,,
,[1] WLA will cache the users Windows domain password and only require OTP,,,,
,,,,,
,[0] Users are required to enter both Windows domain password and OTP (default value),,,,
,,,,,
,Note: Enabling this setting will improve usability (user convenience) of the solution.,,,,
Agent Encryption Key File,This policy setting sets the key file location. Refer to default value below for example syntax. The setting corresponds to the UI option called: 'Agent Encryption Key File:' (Communications tab).,,,,
,,,,,
,Default value: [C:\Program Files\SafeNet\Windows Logon\KeyFile\Agent.bsidkey],,,,
,,,,,
,Note: A customer may use the default (bundled with the agent) key file or set their own virtual server specific key file.,,,,
Enable GrIDsure tokens,This policy setting configures the appearance and use of GrIDsure authentication in WLA during Windows logon. The setting corresponds to the UI option (Policy tab) called: 'Enable GrIDsure tokens'.,,,,
,,,,,
,[1] Enables GrIDsure authentication in WLA (default value),,,,
,,,,,
,[0] Disables the use of GrIDsure authentication,,,,
,,,,,
,Note: Only leave this setting enabled if you need to support GrIDsure.,,,,
WrapCredentialProvider,This entry specifies the GUID of the credential provider the agent is wrapping to provide two-factor authentication.,,,,
,,,,,
,This setting corresponds to the UI option under Credential Provider (Policy Tab). It could be set to either Windows v1 Password Credential Provider- {6f45dc1e-5384-457a-bc13-2cd81b0d28ed} or Windows v2 Password Credential Provider- {60b78e88-ead8-445c-9cfd-0b87f74ea6cd.,,,,
,,,,,
,"Note: It can be set to wrap some other 3rd party credential provider by selecting ""Other credential Provider"" and specifying its GUID.",,,,
,,,,,
